\leftarrowless,is congruent to,logical implication,fair division algorithm,statistical dispersion,index calculus
\gtrarr,restriction map,greater then or equal to right arrow,larger then right arrow,greater than right arrow,greater than or equal to right arrow
\subrarr,Right derivative,subsequent rearrangement,subsequent rearrangement,subsequent rearrangement,subsequent rearrangement
\leftarrowsubset,isomorphic,injective surjective,continuous injective surjective,restrict,wild
\suplarr,limit,sequence,digital system,approximation,discrete mathematics
\leftfishtail,vector derivative,oriented object,flow,infrared spectroscopy,quantum field theory
\rightfishtail,mapsto,implies,implies,bimorphism,dashrightarrow
\upfishtail,integral,limit,approximate derivative,discrete derivative,partial derivative
\downfishtail,vector field,flow map,fluid dynamics,fluid mechanics,fluid flow
\Vvert,norm,absolute value,vector space norm,triangle inequality,metrics
\mdsmblkcircle,black circle,filled circle,filled symbol,highlight symbol,solid circle
\typecolon,function:type,runtime:type,lambda:type,matrix:type,system:type
\lBrace,set notation,vector,mathematical statement,group theory,function definition
\rBrace,set of equations, set notation, differential equation, systems of linear equations, system of nonlinear equations
\lParen,left parenthesis,large parenthesis,log-likelihood function,determinant formula,quantum state representation
\rParen,right parenthesis,expected value,function input,conditional probability,end of expression
\llparenthesis,pairs of parentheses,mathematical notation,symbol used in graphics,coordinate system orientation,enclosures in proofs
\rrparenthesis,interval,ordered pair,complex number,vector

\llangle,inner product, quantum state, quantum measurement, quantum computation, quantum gate
\rrangle,inner product,quantum mechanics,partial order,bracket notation,quantum state
\lbrackubar,inner product, norm, matrix, linear transformation, tensor
\rbrackubar,dimensionless,ratio,symmetric group,tensor,vector
\lbrackultick,linear algebra,vector basis,function space,metric space,vector space
\rbracklrtick,probability distribution function,conditional probability,probability mass function,probability density function,discrete probability distribution
\lbracklltick,predicate logic, interval notation, linear algebra, bracket representation, commutator
\rbrackurtick,inner product,bracket notation,norm,expectation,covariance
\langledot,inner product, euclidean ball, pointwise product, symmetric difference, scaling
\rangledot,dot product, angular velocity, angular acceleration, angular momentum, angular frequency
\lparenless,inner product,subsemigroup,subloop,subloop-representation,subenveloping Lie algebra
\rparengtr,greater than,right parenthesis,left parenthesis,angle bracket,strict inequality.
\Lparengtr,strict inequality,injective function,positive real number,finite limit,determinant
\Rparenless,probabilitydensityfunction,cumulativedistributionfunction,concavetracenorm,normaldistributionparameter,conditionaldensity
\lblkbrbrak,matrix entry,block matrix,submatrix,block bracket,block diagonal
\rblkbrbrak,basis,independent,basis vector,coordinate,vector coefficient
\fourvdots,derivative,tensor operator,indices,coordinate system,vector space
\vzigzag,circuit symbol, electronic diagram, digital signal, data transmission, communication theory
\measuredangleleft,angle,measured angle,box-drawing characters,less than or equal to,geometry
\rightanglesqr,triangle,square,rectangle,parallelogram,quadrilateral
\rightanglemdot,orthogonal,perpendicular,90-degree angle,rectangle,square
\angles,angle,vertex angle,sum of interior angles,radian measure,alternate interior angles
\angdnr,degree-minute-second,navier-roy,clockwise positive direction,check direction,flow direction
\gtlpar,root,structure rank,Aliebraic identity theory,girth profile SIGNAL,geometric time scale
\sphericalangleup,surface normal vector,angle between two vectors,triple integral,curvature integral,flux integral
\turnangle,rotation,relative bearing,azimuth,gyrocompass heading,polarization angle
\revangle,angular velocity,angle between two vectors,angle of incidence,angle of reflection,angle of refraction
\angleubar,angle,unit,bar,polytope,rim
\revangleubar,vector,angle function,generalized velocity matrix,angular velocity vector,unit vector
\wideangledown,inference,gradient,information,network,deep
\wideangleup,spherical excess,hyperbolic geometry,dinilatation,conical excess,arbelos
\measanglerutone,angle,runtime exact bound,true parameter,radian
\measanglelutonw,degree,mass fraction,experiment aperture angle,angle increment,mass fraction specific volume
\measanglerdtose,angle,measurement,magnitude,phaseshift,quantity
\measangleldtosw,degrees,radians,swilley,liersine
\measangleurtone,angle u-ref tone,angle from u-ref tone,measured angle from u-ref tone,measurement of angle from u-ref tone,angle measured from u-ref tone
\measangleultonw,degree,angle,measurement,boolian space,radian
\measangledrtose,angle,degree,radian,time,measurement angle
\measangledltosw,angle, length, south-west
\revemptyset,empty set,not a subset,not a proper subset,empty relation,empty string
\emptysetobar,emptysetobar,emptysetobar,emptysetobar
\emptysetocirc,diameter,graph theory,complement,empty set,disjoint
\emptysetoarr,set to array,empty set to array transformation,initial empty array,empty set to list
\emptysetoarrl,diagram,arrow,functional,category,composition
\circlehbar,cross section,quantum field theory,particle physics,physical chemistry,particle interactions
\circledvert,Fourier series coefficients,sine-cosine relationship,unit circle extension,expected value mapping theory,homotopy equivalence
\circledparallel,angle measurement,parallel lines,determinant matrix,vector space,quantum circuits
\obslash,cross section,differential operator,slope,operator-vector multiplication,vector division
\operp,perpendicular,orthogonal,normal,linearly independent,statistically independent
\obot,intersection,robot path planning,robot navigation,robot motion planning,robotics
\olcross,cross product,vector calculus,orthogonal complement,orthogonal projection,vector space
\odotslashdot,dot product,vector space,orthogonal complement,inner product space,subspace
\uparrowoncircle,disk,arc function major,minimal levels,discrete subset,isolated point
\circledwhitebullet,degree symbol,radian measure,angle measurement,angle indicator,line intersection
\circledbullet,dot product,geometric algebra,machine learning,text classification,time complexity
\olessthan,magnitude,order of,comparator,less,lower
\ogreaterthan,inequality,elementwise comparison,greater than,strict inequality,partial order
\cirscir,circulation theorem,circular dichroism spectroscopy,elliptic cylinder,fluctuating-circle algorithm
\cirE,circle,Euclidean space,electric field symbol,empirical evidence center
\boxdiag,Ehrhart quasi-polynomials,Meyniel condition,skeletization theorem,Weibel filtration,absorbing states
\boxbslash,differential equation,absolutely convergent series,block matrix,vector space,web search
\boxast,geometric partition,function approximation,clustering algorithm,graph edge,point classification
\boxcircle,circle,feedback,feedback system,pole-zero plot,unit circle
\boxbox,matrix,binary operation,interval,quantum information,logic gate
\boxonbox,equation,theorem,lemma,corollary
\triangleodot,area,congruence,angle,altitude,median
\triangleubar,centroid,deformed triangle,circumcenter,orthocenter,medial triangle
\triangles,acute,congruent,equilateral,right,isosceles
\triangleserifs,angle, pattern recognition, reinforcement learning, radiance, satellite imagery
\rtriltri,triangle inequality,minimum triangle inequality,right triangle side-lengths,weighted triangle inequality,relaxed triangle inequality
\ltrivb,scalar,element,rhomorphism,polynomial,function
\vbrtri,direct upward statement,triangular node in a potential energy diagram,equilateral triangle,chemistry-arrow pointing up
\lfbowtie,relation, join, composition, group, algebra
\rfbowtie,relation,intersection,category theory,geometry,conjunction
\fbowtie,semidirect product,split exact sequence,crosscap graph,amalgam construction,loop könig dividend
\lftimes,cross product,vector space,function,vector field,tensor
\rftimes,tensor product,over ring,complex vector space,vector space,algebraic topology
\hourglass,time measurement,sand clock,physics experiment,waiting room,productivity tracker
\blackhourglass,time complexity,analysis,computational cost,data structure,scheduler
\lvzigzag,angular velocity,multi-armed bandit algorithm,center of mass,area moment of inertia,angular acceleration
\rvzigzag,graph,signal processing,communication systems,computer vision,robotics
\Lvzigzag,periodogram,pointing right,pointing down,right turn,skew-Hermitian
\Rvzigzag,turbulence,perturbation theory,random variable,fluid dynamics,polynomial expansion
\iinfin,infinity,limit,cooling process,entropy,ergodic theory
\tieinfty,infinity sequence,infinite series,limit infinity,curve tend to infinity,pointwise convergence
\nvinfty,limit of a sequence,infinity,summation,subseries,summability
\dualmap,homomorphism,injective,bijection,consistency,matrix
\laplac,Laplace's equation,Laplace operator,Laplace transform,Laplace distribution
\lrtriangleeq,truss equilibrium,angular momentum conservation,material toughness,quasilinear partial differential equation,phase equilibrium
\shuffle,random permutation,shuffling algorithm,permutation test,random shuffling,shuffle split
\eparsl,perpendicular,perpendicular lines,orthogonal,orthogonal vectors,perpendicular bisector
\smeparsl,intersection,line,plane,vector,point
\eqvparsl,intersection,parallel,straight line,angle
